url,title,genres,description
https://www.filmweb.pl/film/Czy+mi+kiedy%C5%9B+wybaczysz-2018-795626,Czy mi kiedyś wybaczysz?,Biograficzny;Dramat;Komedia,"Melissa McCarthy w rzadkiej dramatycznej roli błyszczy i fascynuje jako odnosząca niegdyś sukcesy homoseksualna pisarka Lee Israel, autorka dobrze sprzedających się biografii wielkich i sławnych gwiazd Hollywood. Niestety, dobra passa nie trwa w jej przypadku długo i w latach osiemdziesiątych zapomniana, samotna i zgorzkniała, a co najważniejsze zupełnie spłukana - wpada na pomysł podrabiania listów napisanych rzekomo przez wybitnych pisarzy. W całym procederze pomaga jej sprytny przyjaciel gej - Jack (Richard E. Grant), dzielnie sekundując w kolejnych szwindlach. Jak się okazuje, bohaterka odnajduje intratną niszę, ale sprawą po jakimś czasie zaczyna interesować się FBI."
https://www.filmweb.pl/film/Super+Size+Me-2004-115332,Super Size Me,Dokumentalny;Komedia,"Morgan Spurlock przez miesiąc żywi się w McDonaldzie spożywając dziennie trzy posiłki i utrzymując amerykańską dzienną normę 2,5 tys. kroków. Efekt? Zobaczcie sami. McDonald's nazywa działania Spurlocka nieodpowiedzialnymi. Zapowiedział już też zmniejszenie porcji, zwłaszcza frytek, a do wiosennego menu wprowadził wodę i sałatki. Jako prezent można otrzymać licznik kroków, ma on zachęcić Amerykanów do chodzenia."
https://www.filmweb.pl/film/Dwunastu+gniewnych+ludzi-1997-5267,Dwunastu gniewnych ludzi,Dramat sądowy,"Film jest ostrzeżeniem przed zawodnością systemu sądu przysięgłych - chluby prawodawstwa Stanów Zjednoczonych. Młody Portorykańczyk zostaje oskarżony o zabójstwo ojca. Chłopak wychowywał się w ubogiej dzielnicy, w wieku 9 lat stracił matkę, przez jakiś czas przebywał w sierocińcu. Gdy wrócił pod opiekę ojca, ten nie szczędził mu razów. Pewnego dnia doszło do tragedii. Oskarżonemu grozi dożywotnie więzienie, a nawet kara śmierci. Dwunastu mężczyzn ma zadecydować o losie chłopaka. W pierwszym głosowaniu jedenastu ławników głosuje ""winny""."
https://www.filmweb.pl/film/Nigdy+nie+m%C3%B3w+nigdy-2009-492237,Nigdy nie mów nigdy,Komedia obycz.,"30-letnia Ama (Dereszowska) jest odnoszącą sukcesy, zimną i skuteczną „łowczynią głów” dla międzynarodo­wych korporacji. Wiedzie typowe życie bogatej i niezależnej warszawskiej singielki, która rozładowuje stres w nocnych klubach, bawiąc się do rana i podrywając przypadkowych mężczyzn. Jednak pod pancerzem oschłej i nieprzystępnej karierowiczki ukrywa osobiste nadzieje związane z posiadaniem dziecka, z którego już raz kiedyś zrezygnowała dla pracy. W trudnych chwilach wspiera ją najlepsza przyjaciółka Edyta (Olszówka), tro­chę zwariowana artystka, która właśnie weszła w nowy związek z policjantem Rafałem (Więckiewicz). Życie Amy wypada z rutynowego toru, gdy pierwszy raz pozwala sobie na nieprofesjonalne zachowanie – randkę z przystojnym Markiem (Wieczorkowski), którego „złowiła” dla amerykańskiego klienta z Doliny Krzemowej."
https://www.filmweb.pl/film/Ghost+in+the+Shell+2%3A+Niewinno%C5%9B%C4%87-2004-107827,Ghost in the Shell 2: Niewinność,Sci-Fi;Anime,"Na Ziemi w 2032 r. androidy i roboty egzystują niemal na równi z ludźmi, światem zaś rządzą potężne korporacje, bezwzględne syndykaty zbrodni i genialni cyberprzestępcy. Batou jest policjantem - cyborgiem pracującym dla elitarnej Sekcji 9. Wraz z detektywem Togusą rozpoczyna śledztwo w sprawie tajemniczych morderstw, które zaprowadzi ich w miejsca, gdzie granice między człowiekiem a maszyną przestają istnieć..."
https://www.filmweb.pl/film/Kie%C5%82-2014-700738,Kieł,Horror;Komedia,"Straszliwy horror o zagrożeniach, jakie niesie opowiadanie historii. Kieł podąża śladami amerykańskiego śmiałka, który zapuszcza się w kanadyjskie dzikie ostępy, by przeprowadzić wywiad z pewnym starym człowiekiem o niesamowitej przeszłości. To co odkrywa, przechodzi najśmielsze wyobrażenia."
https://www.filmweb.pl/film/Dwa+miliony+dolar%C3%B3w+napiwku-1994-1051,Dwa miliony dolarów napiwku,Dramat;Komedia;Romans,"W czasie pełnienia służby nowojorski policjant Charlie Lang (Nicolas Cage) wstępuje do małego baru na filiżankę kawy. Podczas płacenia rachunku, okazuje się, że zabrakło mu pieniędzy na napiwek dla sympatycznej kelnerki Yvonne (Bridget Fonda). W zamian chce wręczyć miłej dziewczynie kupiony przed kilkunastoma minutami los, jednak ona odmawia. Charlie obiecuje więc Yvonne, że odda jej połowę wygranej. Los płata mu figla, gdyż okazuje się, że właśnie wygrał 4 miliony dolarów. Zgodnie z umową zamierza wypłacić Yvonne obiecaną kwotę. Wówczas do akcji wkracza jego chciwa żona, która nie ma ochoty dzielić się pieniędzmi..."
https://www.filmweb.pl/film/Ma%C5%82a+ksi%C4%99%C5%BCniczka-1995-34947,Mała księżniczka,Dramat;Fantasy,"Wzruszająca historia małej Sary która mieszka wraz z ojcem w kolonialnych Indiach. Niestety wojna rozdziela nierozłączną dotąd parę i Sara trafia do nowojorskiego pensjonatu dla dziewcząt. Tam przeżywa trudne chwile, gdy z panienki z dobrego domu staje się służącą. Jednak nawet wtedy, gdy los ciężko ją doświadcza znajdują się ludzie, którzy jej pomogą i wesprą. [Opis Dystrybutora na DVD]"
https://www.filmweb.pl/film/Eddington-2025-10047992,Eddington,Western;Czarna komedia,"W miasteczku Eddington położonym w Nowym Meksyku w maju 2020 roku w trakcie pandemii dochodzi do konfliktu między szeryfem (Joaquin Phoenix), a burmistrzem (Pedro Pascal). Konflikt eskaluje z dnia na dzień. Sąsiad staje przeciwko sąsiadowi."
https://www.filmweb.pl/film/Joe-2013-665743,Joe,Dramat,"Tytułowy Joe Ransom (Nicholas Cage) były więzień, zatrudnia w swojej firmie zajmującej się wyrębem drzew, nastolatka, Gary'ego Jonesa (Tye Sheridan). Z czasem między Joem i Garym rodzi się więź, która na zawsze odmieni ich życie."
