url,title,genres,description,description_word_count,processed_description
https://www.filmweb.pl/film/Zielona+mila-1999-862,Zielona mila,['Dramat'],"Rok 1935. Paul Edgecombe (Tom Hanks) jest jednym ze strażników bloku śmierci w więzieniu Cold Mountain. Do jego obowiązków należy odprowadzanie skazańców do celi śmierci długim korytarzem, wyłożonym zieloną wykładziną, zwaną ""Zieloną milą"". Pewnego dnia do więzienia przybywa olbrzymi czarnoskóry skazaniec, John Coffey (Michael Clarke Duncan). Ma oczekiwać na karę śmierci za zamordowanie dwóch białych dziewczynek. Jego wizyta na zawsze zmieni życie Paula i pozostałych pracowników więzienia.",67,rok paul edgecombe Tom hanks strażniek blok śmierć więzienie cold mountain obowiązek należeć odprowadzanie skazańca cela śmierć długi korytarz wyłożony zielony wykładzina zwać zielony mila pewien dzień więzienie przybywać olbrzymi czarnoskóra skazaniec john coffeyć michael clarke duncana mieć oczekiwać kara śmierć zamordować biały dziewczynka wizyta zmienić życie paul pozostały pracownik więzienie
https://www.filmweb.pl/film/Skazani+na+Shawshank-1994-1048,Skazani na Shawshank,['Dramat'],"Film nakręcony na podstawie książki mistrza horrorów Stephena Kinga. Andy Dufresne (Tim Robbins), dobrze zarabiający bankier z Nowej Anglii, zostaje oskarżony o podwójne zabójstwo - swojej żony i jej kochanka. Uparcie twierdzi, że jest niewinny, ale dzięki niezbitym dowodom zostaje skazany na podwójne dożywocie w więzieniu Shawshank. Shawshank rządzi hipokryta i fanatyk biblijny, naczelnik Norton (Bob Gunton), a wraz z nim sadystyczni strażnicy. Andy już po kilku dniach poznaje brutalną, więzienną rzeczywistość, ale dzięki wrodzonej inteligencji, sprytowi oraz pomocy przyjaciela Ellisa Boyda ""Reda"" Reddinga (Morgan Freeman) udaje mu się zachować nadzieję, która pozwoli dokonać zemsty.",95,film nakręcić podstawa książka mistrz horror stephen Kinga anda dufresny tim robbins zarabiający bankier nowy anglia zostawać oskarżony podwójny zabójstwo swój żona kochanek uparcie twierdzić niewinny dzięki niezbitym dowoda zostawać skazać podwójny dożywocie więzienie shawshank shawshank rządzić hipokryt fanatyk biblijny naczelnik norton bob gunton wraz sadystyczny strażnik andy dzień poznawać brutalny więzienny rzeczywistość dzięki wrodzony inteligencja spryt pomoc przyjaciel ellis boyda reda reddinga morgan Freeman udawać zachować nadzieja pozwolić dokonać zemsta
https://www.filmweb.pl/film/Forrest+Gump-1994-998,Forrest Gump,"['Dramat', 'Komedia']","""Forrest Gump"" to romantyczna historia, w której Tom Hanks wcielił się w tytułową postać - nierozgarniętego młodego człowieka o wielkim sercu i zdolności do odnajdywania się w największych wydarzeniach w historii USA, począwszy od swego dzieciństwa w latach 50-tych. Po tym, jak staje się gwiazdą footballu, odznaczonym bohaterem wojennym i odnoszącym sukcesy biznesmenem, główny bohater zyskuje status osobistości, lecz nigdy nie rezygnuje z poszukiwania tego, co dla niego najważniejsze - miłości swej przyjaciółki, Jenny Curran.  Forrest jest małym chłopcem, kiedy jego ojciec porzuca rodzinę, a matka utrzymuje siebie i syna biorąc pod swój dach lokatorów. Kiedy okazuje się, że jej chłopiec ma bardzo niski iloraz inteligencji, pozostaje nieustraszona w swoim przekonaniu, że ma on takie same możliwości, jak każdy inny. To prawda - takie same, a nawet dużo większe. W całym swym życiu Forrest niezamierzenie znajduje się twarzą w twarz z wieloma legendarnymi postaciami lat 50-tych, 60-tych i 70-tych. Wiedzie go to na boisko piłki nożnej, poprzez dżungle Wietnamu, Waszyngton, Chiny, Nowy Jork, do Luizjany i w wiele innych miejsc, a wszystko to relacjonuje on w swych poruszających i wstrząsających opowieściach przypadkowo spotkanym osobom.",184,forrest gump romantyczny historia Tom hanks wcielić tytułowy postać nierozgarnięty młody człowiek wielki serce zdolność odnajdywać największych wydarzeni historia usa począć swój dzieciństwo rok stawać gwiazda football odznaczony bohater wojenny odnoszącym sukces biznesmen główny bohater zyskować status osobistość rezygnować poszukiwać ważny miłość swój przyjaciółka jenny curran forrest mały chłopiec ojciec porzucać rodzina matka utrzymywać siebie syn brać swój dach lokator okazywać chłopiec mieć niski iloraz inteligencja pozostawać nieustraszyć swój przekonanie mieć możliwość prawda wielki swój życie forrest niezamierzenie znajdować twarz twarz legendarny postacie rok wieść boisko piłka nożny poprzez dżungle wietnam waszyngton china nowy jork luizjana miejsce relacjonować swój poruszający wstrząsający opowieścia przypadkowo spotkać osoba
https://www.filmweb.pl/film/Leon+zawodowiec-1994-671,Leon zawodowiec,"['Dramat', 'Kryminał']","Leon (Jean Reno) jest płatnym zabójcą. W niczym nie przypomina męskiego, twardego i nieposkromionego złoczyńcy. Wręcz przeciwnie: jest cichy, spokojny, na co dzień pije mleko. Pewnego dnia skorumpowana policja zabija swojego dostawcę narkotyków i jego rodzinę. Przeżyła tylko córka, która postanawia zemścić się na zabójcach. To niezwykle trudne zlecenie otrzymuje Leon, u którego młoda dziewczyna znajduje schronienie.",57,leon jean reno płatny zabójca przypominać męski twardy nieposkromiony złoczyńca wręcz przeciwnie cichy spokojny dzień pić mleko pewien dzień skorumpowany policja zabijać swój dostawca narkotyk rodzina przeżyć córka postanawiać zemścić zabójc niezwykle trudny zlecenie otrzymywać leon młody dziewczyna znajdować schronienie
https://www.filmweb.pl/film/Requiem+dla+snu-2000-9136,Requiem dla snu,['Dramat'],"Wstrząsająca opowieść o czwórce bohaterów z Brooklynu, którzy w pogoni za realizacją swoich marzeń odbywają podróż w głąb piekła uzależnień. Ucieczka od rzeczywistości kończy się dla rozprowadzającego narkotyki Harry'ego, jego uzależnionej od pigułek na odchudzanie matki, Sary, pogrążonej w nałogu dziewczyny, Marion, i najlepszego przyjaciela, tragedią. Każdy z nich, nie mogąc sobie poradzić z chaosem otaczającego ich współczesnego świata, popada w uzależnienie od narkotyków, słodyczy, czy telewizji. ""Requiem dla snu"" to hipnotyczna opowieść o tęsknocie za miłością, życiu w iluzji, kłamstwie i zjawisku uzależnienia.",84,wstrząsać opowieść czwórka bohater brooklyn pogoń realizacja swój marzenie odbywać podróż głąb piekło uzależnienie ucieczka rzeczywistość kończyć rozprowadzającego narkotyk uzależniony pigułka odchudzać matka sara pogrążoć nałóg dziewczyna marion dobry przyjaciel tragedią mogąc siebie poradzić chaos otaczać współczesny świat popadać uzależniyć narkotyk słodycze telewizja requiem sen hipnotyczny opowieść tęsknot miłość życie iluzja kłamstwie zjawisko uzależnienie
https://www.filmweb.pl/film/Matrix-1999-628,Matrix,"['Sci-Fi', 'Akcja']","Neo (Keanu Reeves) jest genialnym hakerem. Pewnego dnia nawiązuje z nim kontakt tajemniczy Morfeusz (Laurence Fishburne) - człowiek, który obiecuje przekazać mu wiedzę o rzeczywistości, w jakiej żyje. Prawdę o dwóch światach: prawdziwym i wygenerowanym, który ma tylko udawać rzeczywistość. Neo przystaje do grupy Morfeusza i zaczyna dostrzegać, że świat, w którym egzystował to fikcja, a jego życiem cały czas ktoś kierował. Kolejne stopnie wtajemniczenia stawiają przed Neo nowe pytania. Czym jest Matrix i komu służy? I jaką rolę w planie Morfeusza ma do spełnienia on sam?",87,neo kean reeves genialny haker pewien dzień nawiązywać kontakt tajemniczy morfeusz laurencea fishburny człowiek obiecywać przekazać wiedza rzeczywistość żyć prawda świata prawdziwy wygenerowany mieć udawać rzeczywistość neo przystawać grupa Morfeusz zaczynać dostrzegać świat egzystować fikcja życie czas kierować kolejny stopień wtajemniczenie stawiać neo nowy pytanie matrix służyć rola plan morfeusza mieć spełnić
https://www.filmweb.pl/film/Milczenie+owiec-1991-1047,Milczenie owiec,['Thriller'],"Agentce FBI, Clarise Starling (Jodie Foster), zostaje powierzona sprawa ""Buffalo Billa"", seryjnego mordercy wyróżniającego się szczególnym okrucieństwem wobec swych ofiar, które odziera ze skóry. Sprawę pomaga jej rozwikłać inny, niezwykle inteligentny i niebezpieczny morderca - Hannibal Lecter (Anthony Hopkins) - pacjent więziennego centrum psychiatrycznego. Hannibal jest zauroczony Clarice, a w zamian za odkrywanie przez nią części swej przeszłości, kawałek po kawałku odkrywa dla niej tajemnicę morderstw.",66,agentka fbia clarise starling jodie foster zostawać powierzony sprawa buffalo billa seryjny morderca wyróżniać szczególny okrucieństw wobec swój ofiara odzierać skóra sprawa pomagać rozwikłać niezwykle inteligentny niebezpieczny morderca hannibal lecter anthony hopkins pacjent więzienć centrum psychiatryczny hannibal zauroczć clarica zamian odkrywać część swój przeszłość kawałek kawałek odkrywać tajemnica morderstwo
https://www.filmweb.pl/film/Avatar-2009-299113,Avatar,['Sci-Fi'],"Długo oczekiwany film Jamesa Camerona zrealizowany z wielkim rozmachem porównywalnym do ""Titanica"". Szacowany budżet na poziomie 237 milionów dolarów daje mu trzecie miejsce pod tym względem w historii kina. ""Avatar"" został wykonany w dwóch technikach: tradycyjnej 2D i zupełnie nowej technice 3D. Zdjęcia do filmu zostały wykonane w 2007 roku, natomiast na postprodukcję przeznaczono dwa lata.  ""Avatar"" opowiada historię sparaliżowanego byłego komandosa, który dostaje szansę odzyskania zdrowego ciała. Musi jednak wziąć udział w specjalnym programie militarnym o nazwie Avatar. W rolach głównych między innymi Sam Worthington, Sigourney Weaver, Michelle Rodriguez.",90,długo oczekiwany film james camerono zrealizować wielki rozmach porównywalnym titanica szacowany budżet poziom milion dolar dawać trzeci miejsce wzgląd historia kino avatar zostać wykonać technika tradycyjny zupełnie nowy technika zdjęcie film zostać wykonać rok postprodukcja przeznaczyć rok avatar opowiadać historia sparaliżowanego komandos dostawać szansa odzyskać zdrowy ciało musieć wziąć udział specjalny program militarny nazwa avatar rol główny worthington sigourney weaver michelle rodriguez
https://www.filmweb.pl/film/Gladiator-2000-936,Gladiator,['Dramat historyczny'],"Generał Maximus (Russell Crowe), jeden z najwybitniejszych dowódców w rzymskiej armii, dowiaduje się, że umierający cesarz Marek Aureliusz (Richard Harris) chce uczynić go swoim następcą na tronie. Nie podoba się to prawowitemu dziedzicowi, Kommodusowi (Joaquin Phoenix), który postanawia pozbyć się rywala i skazuje go na karę śmierci wraz z całą rodziną. Maximusowi cudem udaje się uciec. Trafia do niewoli, gdzie zostaje wyszkolony na gladiatora. Z walki na walkę zyskuje popularność, a na jego występy zaczyna przychodzić coraz więcej ludzi. Maximus jako wojownik wraca do Rzymu, by pomścić swoich bliskich, ale wie, że jedyną potęgą większą od władzy cesarza jest wola ludu i dlatego, by dokonać zemsty, musi stać się największym bohaterem Imperium.",112,generał maximus russell crowy wybitny dowódca rzymski armia dowiadować umierać cesarz Marek aureliusz richard harris chcieć uczynić swój następca tron podobać prawowitemu dziedzic kommodus joaquin phoenix postanawiać pozbyć rywalać skazować kara śmierć wraz rodzina maximusowi cud udawać uciec trafiać niewola zostawać wyszkolyć gladiator walka walka zyskować popularność występ zaczynać przychodzić człowiek Maximus wojownik wracać rzym pomścić swój bliski wiedzieć jedyny potęga wielki władza cesarz wola lud dokonać zemsta musieć stać największym bohater imperium
https://www.filmweb.pl/film/Pulp+Fiction-1994-1039,Pulp Fiction,['Gangsterski'],"Płatni mordercy, Jules (Samuel L. Jackson) i Vincent (John Travolta), dostają zlecenie, by odzyskać z rąk przypadkowych rabusiów tajemniczą walizkę bossa mafii. Nie dość tego, Vincent dostaje kolejną robotę - na czas nieobecności gangstera w mieście ma zaopiekować się jego poszukującą wrażeń żoną Mią (Uma Thurman). Vincent i Jules niespodziewanie wpadają po uszy, gdy przypadkowo zabijają zakładnika. Kłopoty ma też podupadły bokser (Bruce Willis), który otrzymał dużą sumę za przegranie swojej walki. Walkę jednak wygrywa, a Los Angeles staje się od tej chwili dla niego za małe. Specjaliści od mokrej roboty będą mieli co robić...",95,płatni mordercy Jules samuela lata Jackson vincent john travolta dostawać zlecenie odzyskać ręka przypadkowy rabusium tajemniczy walizka bossa mafia vincent dostawać kolejny robota czas nieobecność gangster miasto mieć zaopiekować poszukuć wrażenie żona Mią uma thurman vincent jules niespodziewanie wpadać ucho przypadkowo zabijać zakładnik kłopot mieć podupadły bokser bruce willis otrzymać duży suma przegrać swój walka walka wygrywać los Angeles stawać chwila mały specjaliści mokry robota mieć robić
