url,title,genres,description
https://www.filmweb.pl/film/Wyspa+ps%C3%B3w-2018-756278,Wyspa psów,Przygodowy;Animacja;Komedia,"Opowieść o dwunastoletnim japońskim chłopcu imieniem Atari, którego wychowuje skorumpowany burmistrz wielkiego miasta Megasaki. Gdy na mocy specjalnego dekretu wszystkie psy domowe wygnane zostają na ogromne wysypisko odpadów, Atari leci na miniaturowej machinie powietrznej na „wyspę śmieci”, by odnaleźć swego ukochanego psa. Na miejscu gromadzi wokół siebie grupę czworonożnych przyjaciół i wraz z nimi wyrusza na wielką wyprawę, która zadecyduje o losach i przyszłości całej Prefektury."
https://www.filmweb.pl/film/47+ronin%C3%B3w-2013-548326,47 roninów,Fantasy;Przygodowy,"Film oparty na legendarnej historii 47 roninów z początku XVIII wieku.  Grupa samurajów przez rok planowała zemstę za śmierć swojego pana na urzędniku sądowym. Winni morderstwa, zgodnie z kodeksem bushido, popełnili grupowe seppuku. Do dziś uważani są za bohaterów narodowych, symbol walki o sprawiedliwość nawet za cenę życia."
https://www.filmweb.pl/film/Szklana+pu%C5%82apka+3-1995-1272,Szklana pułapka 3,Sensacyjny,"Szaleniec terroryzuje Nowy Jork, podkładając bomby w najruchliwszych punktach miasta. Do zamachów przyznaje się bezwzględny terrorysta Simon (Jeremy Irons), który grozi kolejnymi wybuchami, jeżeli detektyw John McClane (Bruce Willis) nie spełni jego żądań. Sprzymierzeńcem Johna nieoczekiwanie zostaje czarnoskóry Zeus (Samuel L. Jackson), właściciel sklepu elektronicznego, który pomaga mu tropić psychopatę."
https://www.filmweb.pl/film/Glass+Onion%3A+Film+z+serii+%22Na+no%C5%BCe%22-2022-876242,"Glass Onion: Film z serii ""Na noże""",Dramat;Kryminał;Komedia,"Benoit Blanc powraca, aby rozwikłać kolejną sprawę w najnowszym kryminale Riana Johnsona. Za sprawą najnowszej przygody nieustraszony detektyw trafia do luksusowej rezydencji na pewnej greckiej wyspie, ale to, jak i dlaczego się tam znalazł, jest jedną z wielu zagadek. Blanc wkrótce poznaje bardzo różnorodną grupę znajomych, którzy zebrali się, jak co roku, na zaproszenie miliardera Milesa Brona. Na liście gości znaleźli się dawny partner biznesowy Milesa, Andi Brand, obecna gubernatorka stanu Connecticut, Claire Debella, odnoszący sukcesy naukowiec Lionel Toussaint, projektantka mody i była modelka, Birdie Jay, oraz jej niezawodna asystentka Peg, a także influencer Duke Cody i jego dziewczyna Whiskey."
https://www.filmweb.pl/film/Id%C5%BA+i+patrz-1985-35185,Idź i patrz,Dramat;Wojenny,"Białoruś, 1943 rok, szesnastoletni Flora pomimo sprzeciwu matki, decyduje się wstąpić do partyzantki, a jego przepustką do lasu jest wygrzebany na polu bitwy karabin. Aby nie wzbudzać podejrzeń wroga, partyzanci w niemieckim przebraniu udają porwanie młodzieńca. Pierwsze dni w lesie są ciężkie dla łagodnego Flory, który czuje się tutaj zagubiony, dlatego też nie zostaje zabrany na pierwszą akcję. Zostawszy w obozie partyzanckim poznaje Głaszę, dziewczynę, której charakter trudno rozgryźć. Podczas niemieckiego ataku na opuszczony obóz partyzancki, Flora zostaje ogłuszony od bliskich wybuchów, ale udaje mu się wraz z Głaszą uciec prześladowcom. Tak rozpoczyna się pełna bólu i strachu ucieczka przed morderczymi Niemcami, którzy nie cofną się nawet przed rzezią niewinnych dzieci."
https://www.filmweb.pl/film/Osiem+i+p%C3%B3%C5%82-1963-30830,Osiem i pół,Dramat,"Bohaterem filmu jest reżyser nie umiejący sprostać zadaniom, jakie nakłada na niego rzeczywistość. Chciałby powiedzieć wszystko, a nie ma już nic do powiedzenia. A kiedy artysta nie ma nic do powiedzenia, może jeszcze zawsze opowiedzieć, dlaczego nie ma nic do powiedzenia.  ""8 i 1/2"" rozpoczyna się sceną symboliczną, w jakiś sposób streszczającą właściwie cały film i wykładającą jego teorię. Reżyser Guido - bohater (Marcello Mastroianni) jest uwięziony we własnym samochodzie, a samochód stoi w ulicznym korku. Nie może otworzyć drzwi ani uchylić szyby, jego położenie staje się krytyczne - dusi się na oczach otaczających go, lecz absolutnie obojętnych, nic nie widzących ludzi z innych samochodów. W ostatniej chwili przebija dach swego wozu, ucieka, wznosi się ponad wszystko, ulatuje w dal. Fabuły właściwie nie ma. Bohater zobowiązał się nakręcić kolejny film. Producenci czekają, puszczono już w ruch ogromną machinę wytwórni, zbudowano gigantyczną dekorację, zaangażowano aktorów, ustalono ostateczny termin rozpoczęcia zdjęć, wszyscy czekają. Tymczasem reżyser nie ma jeszcze nawet cienia pomysłu.  Fellini opowiada to niezwykłym językiem. Rzeczywistość przeplata się tu z marzeniami, ze wspomnieniami z dzieciństwa, z wizjami fragmentów przyszłego filmu."
https://www.filmweb.pl/film/W+ciemno%C5%9B%C4%87.+Star+Trek-2013-521206,W ciemność. Star Trek,Sci-Fi;Akcja,"Dzielna załoga Enterprise musi zmierzyć się z zagrożeniem dla całej Federacji, które, jak się okazuje, ma swoje źródło w jej własnych szeregach. Kapitan Kirk (Chris Pine), mając również prywatne rachunki do wyrównania, dowodzi polowaniem na człowieka będącego jednoosobową bronią masowej zagłady. Droga wiedzie do rozdartego wojną świata, gdzie przyjaźń i lojalność Kirka oraz jego załogi będzie wystawiona na ciężką próbę."
https://www.filmweb.pl/film/Sing-2016-700243,Sing,Animacja;Komedia;Musical,"W świecie zamieszkanym przez zwierzęta teatr prowadzony przez koalę Bustera Moona (Matthew McConaughey) popada w tarapaty. Kochając teatr, zrobi on jednak wszystko, by go ocalić. Ostatnią szansą na przetrwanie jest wielki konkurs, który pomoże odnaleźć najpiękniejszy głos świata. Głos, który ocali teatr.  Do konkursu staną: nucąca cicho jak mysz pod miotłą Mysz (Seth MacFarlane), nieśmiała Słonica (Tori Kelly), której towarzyszy pewna siebie matka (Reese Witherspoon), młody gangster Gorilla i punkowa rebeliantka Jeżozwierzyca (Scarlett Johansson)."
https://www.filmweb.pl/film/Szklana+pu%C5%82apka+2-1990-1271,Szklana pułapka 2,Sensacyjny,"Są święta Bożego Narodzenia. Nowojorski detektyw John McClane (Bruce Willis) ponownie znalazł się w złym miejscu o złej porze. Czekając na samolot swojej żony, odkrywa spisek terrorystów i próbuje powiadomić o tym władze. Jednak nikt mu nie wierzy... Terroryści opanowują lotnisko i przejmują kontrolę nad samolotami, biorąc za zakładników wszystkich pasażerów. W zamian za ich wypuszczenie żądają od władz uwolnienia podlegającego ekstradycji do Ameryki szefa gangu narkotykowego. Aby pokazać, że to nie są żarty, rozbijają jeden z krążących nad lotniskiem samolotów. John McClane wkracza do akcji..."
https://www.filmweb.pl/film/Pingwiny+z+Madagaskaru-2014-664609,Pingwiny z Madagaskaru,Animacja;Familijny;Komedia;Przygodowy,"Antarktyda. Skipper, Kowalski i Rico są pingwinami. Niespodziewanie im oczom ukazuje się jajko, z którego wykluwa się nowy, mały ptak-nielot, Szeregowy. Mija 10 lat, a światu zagraża niejaki dr Oktawiusz Mackiewicz przybierający postać ośmiornicy Dave'a. Nieloty wraz z pomocą zespołu Północny Wiatr łączą siły i postanawiają powstrzymać złowrogiego doktora. Jeśli ich misja się nie powiedzie, świat będzie należał do głowonoga."
